Pattern;#SUP:
22 -1;2431.0
41 -1;340.0
45 -1;530.0
52 -1;2432.0
54 -1;170.0
60 -1;160.0
61 -1;340.0
71 -1;170.0
91 -1;3073.0
98 -1;430.0
105 -1;530.0
108 -1;770.0
113 -1;1480.0
115 -1;640.0
119 -1;3384.0
120 -1;3465.0
122 -1;1480.0
125 -1;290.0
126 -1;3626.0
127 -1;290.0
128 -1;3627.0
807 -1;89.0
852 -1;100.0
866 -1;110.0
889 -1;90.0
891 -1;90.0
934 -1;90.0
960 -1;90.0
977 -1;130.0
1000 -1;100.0
127 -1 128 -1;128.0
126 -1 128 -1;3264.0
128 -1 126 -1;265.0
125 -1 128 -1;112.0
122 -1 128 -1;545.0
128 -1 122 -1;525.0
120 -1 128 -1;2773.0
128 -1 120 -1;506.0
119 -1 128 -1;2370.0
128 -1 119 -1;753.0
115 -1 128 -1;198.0
128 -1 115 -1;180.0
113 -1 128 -1;436.0
128 -1 113 -1;630.0
108 -1 128 -1;462.0
128 -1 108 -1;208.0
105 -1 128 -1;265.0
128 -1 105 -1;190.0
98 -1 128 -1;192.0
128 -1 98 -1;124.0
91 -1 128 -1;1293.0
128 -1 91 -1;920.0
61 -1 128 -1;90.0
128 -1 61 -1;130.0
52 -1 128 -1;837.0
128 -1 52 -1;895.0
45 -1 128 -1;212.0
128 -1 45 -1;228.0
128 -1 41 -1;156.0
22 -1 128 -1;669.0
128 -1 22 -1;1074.0
128 -1 22 -1 52 -1;895.0
128 -1 22 -1 91 -1;716.0
128 -1 22 -1 119 -1;345.0
128 -1 22 -1 120 -1;234.0
128 -1 22 -1 126 -1;121.0
128 -1 22 -1 120 -1 126 -1;117.0
128 -1 22 -1 119 -1 126 -1;115.0
128 -1 22 -1 91 -1 126 -1;121.0
128 -1 22 -1 52 -1 126 -1;121.0
128 -1 22 -1 119 -1 120 -1;230.0
128 -1 22 -1 91 -1 120 -1;234.0
128 -1 22 -1 52 -1 120 -1;234.0
