Pattern	#SUP:
22 -1	2431.0
52 -1	2432.0
91 -1	3073.0
113 -1	1480.0
119 -1	3384.0
120 -1	3465.0
122 -1	1480.0
126 -1	3626.0
128 -1	3627.0
126 -1 128 -1	3264.0
120 -1 128 -1	2773.0
119 -1 128 -1	2370.0
91 -1 128 -1	1293.0
128 -1 22 -1	1074.0
120 -1 126 -1	3119.0
119 -1 126 -1	2708.0
91 -1 126 -1	1508.0
52 -1 126 -1	1004.0
113 -1 122 -1	1332.0
119 -1 120 -1	3046.0
91 -1 120 -1	1659.0
52 -1 120 -1	1122.0
120 -1 126 -1 128 -1	2773.0
91 -1 119 -1	1803.0
52 -1 119 -1	1234.0
22 -1 119 -1	1079.0
119 -1 120 -1 126 -1	2708.0
119 -1 120 -1 128 -1	2370.0
119 -1 120 -1 126 -1 128 -1	2370.0
119 -1 126 -1 128 -1	2370.0
52 -1 91 -1	2189.0
22 -1 91 -1	1945.0
91 -1 119 -1 120 -1	1603.0
91 -1 119 -1 126 -1	1403.0
91 -1 119 -1 128 -1	1203.0
91 -1 119 -1 126 -1 128 -1	1203.0
91 -1 119 -1 120 -1 128 -1	1203.0
91 -1 119 -1 120 -1 126 -1	1403.0
91 -1 119 -1 120 -1 126 -1 128 -1	1203.0
91 -1 120 -1 126 -1	1452.0
91 -1 120 -1 128 -1	1245.0
91 -1 120 -1 126 -1 128 -1	1245.0
91 -1 126 -1 128 -1	1293.0
22 -1 52 -1	2188.0
52 -1 91 -1 119 -1	1234.0
52 -1 91 -1 120 -1	1122.0
52 -1 91 -1 126 -1	1004.0
52 -1 91 -1 119 -1 120 -1	1080.0
52 -1 119 -1 120 -1	1080.0
22 -1 52 -1 91 -1	1945.0
22 -1 52 -1 119 -1	1079.0
22 -1 52 -1 91 -1 119 -1	1079.0
22 -1 91 -1 119 -1	1079.0
