@relation 'AT: motifsWeka-weka.filters.unsupervised.attribute.Remove-R1,3-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute '0.187IR[16; 16; 16; 16; 16; 16; 16; 16; 16; 16; 16]+0.187IR[16; 16; 16; 16; 16; 16; 16; 16; 16; 16]+0.186IR[16; 16; 16; 16; 16; 16; 16; 16; 16]+0.186IR[16; 16; 16; 16; 16; 16; 16; 16]+0.185IM[-87; -87; -87; -87; -87; -87; -87; -87; -87]...' numeric
@attribute '-0.197IB[-87:8; -87:8; -87:8; -87:8]-0.189IB[-87:8; -87:8; -87:8; -87:8; -87:8]-0.185TRANS[0; 0; 0; 0]-0.182TRANS[0; 0; 0; 0; 0]-0.177IR[8; 8; 8; 8; 8]...' numeric
@attribute '-0.156IB[-87:8; -87:8; -87:8; -87:8; -87:8; -87:8; -87:8; -87:8]-0.156IB[-87:8; -87:8; -87:8; -87:8; -87:8; -87:8]-0.156IB[-87:8; -87:8; -87:8; -87:8; -87:8; -87:8; -87:8]-0.15IR[4; 4; 4; 4]-0.147TRANS[-2; -1; -2]...' numeric
@attribute '0.174IM[52; 52; 52; 52; 52]+0.174IM[52; 52; 52; 52]+0.169IM[50; 50; 50; 50; 50]+0.169IM[48; 48; 48; 48]+0.166IM[50; 50; 50; 50]...' numeric
@attribute '-0.193IM[67; 67; 67; 67; 67]-0.173IM[76; 76; 76; 76]-0.171IM[81; 81; 81; 81]-0.171IB[76:2; 76:2; 76:2; 76:2]-0.171IM[71; 71; 71; 71; 71]...' numeric
@attribute '-0.155IR[4; 4; 4; 4; 4]-0.151IR[4; 4; 4; 4; 4; 4]+0.134IM[72; 71; 69; 68]+0.133IR[2; 2; 6; 2]-0.132IR[2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2]...' numeric
@attribute '0.162IM[72; 71; 69; 68]+0.148TRANS[0; -2; -2; -1]+0.148IR[4; 2; 2; 4]+0.148TRANS[-2; -1; -2; -1]+0.148IB[79:4; 79:2; 77:2; 76:4]...' numeric
@attribute '0.197TRANS[0; -2; -2; -1]+0.197IR[4; 2; 2; 4]+0.197TRANS[-2; -1; -2; -1]+0.197IB[76:4; 79:4; 79:2; 77:2; 76:4]+0.197IB[79:4; 79:2; 77:2; 76:4]...' numeric
@attribute '0.153INV[7; -7; 0]+0.153TRANS[1; -1; -2]+0.153IM[55; 55; 55; 55; 55]+0.153IM[46; 46; 46; 46]+0.153IM[55; 53; 52; 50]...' numeric
@attribute '-0.181IR[2; 2; 2; 8]-0.181IR[2; 2; 2; 2; 8]-0.181IM[64; 64; 64; 64; 64]-0.181IR[2; 2; 2; 2; 4; 2]-0.181IR[2; 2; 2; 4; 2]...' numeric
@attribute '-0.203IM[46; 46; 46; 46; 46]-0.203IM[46; 46; 46; 46]-0.203IM[55; 53; 52; 50]-0.203IM[55; 55; 55; 55; 55; 55]-0.203IM[55; 55; 55; 55; 55]...' numeric
@attribute '-0.22IR[8; 8; 8; 4; 4]-0.22IR[16; 16; 16; 16; 16; 16; 16; 16; 16; 16; 16; 16]-0.22IR[16; 16; 16; 16; 16; 16; 16; 16; 16; 16; 16; 16; 16]+0.16 IB[-87:8; -87:8; -87:8; -87:8; -87:8; -87:8; -87:8; -87:8; -87:8; -87:8]+0.159INV[0; 0; 0; 0; 0; 0]...' numeric
@attribute '0.189IR[4; 4; 4; 6; 2; 4]+0.181IR[4; 4; 4; 6]+0.179IR[4; 4; 4; 6; 2]+0.166TRANS[0; 0; -1]+0.157IM[72; 72; 71; 69]...' numeric
@attribute '-0.243TRANS[2; 2; 2]-0.243INV[0; -1; 1]-0.243IB[58:1; 60:1; 62:1; 64:1]-0.243IR[2; 4; 4; 2]-0.234IR[2; 4; 4; 4]...' numeric
@attribute '0.209IR[16; 16; 16; 16; 16; 16; 16; 16; 16; 16; 16; 16]+0.209IR[16; 16; 16; 16; 16; 16; 16; 16; 16; 16; 16; 16; 16]+0.209IR[8; 8; 8; 4; 4]-0.185IM[-87; -87; -87; -87; 50]-0.182IR[8; 8; 8; 8; 4]...' numeric
@attribute '-0.286TRANS[1; -3; 2]-0.286TRANS[-1; 1; -159]-0.286TRANS[2; 1; -3]-0.286TRANS[3; -1; -2]-0.263INV[2; -2; -2]...' numeric
@attribute '-0.245IR[4; 6; 2; 4]-0.245IR[4; 4; 6; 2; 4]-0.239IM[72; 72; 71; 69; 67]-0.239IM[72; 72; 71; 69]-0.197TRANS[-2; -2; 0]...' numeric
@attribute '0.241TRANS[-2; -2; 4; -2]+0.241IB[71:4; 69:4; 67:4; 71:4]+0.241INV[0; 2; 0]+0.241INV[-2; 4; -2]+0.241TRANS[2; 3; -1]...' numeric
@attribute '-0.229IR[2; 2; 1; 1]-0.22IR[2; 1; 1; 2]-0.189IR[2; 2; 1; 1; 2]-0.166IM[69; 69; 69; 69; 69]-0.15IM[76; 76; 76; 76; 76; 76]...' numeric
@attribute '-0.253TRANS[-4; -1; -2]-0.253IM[74; 74; 72; 70]-0.253IM[74; 74; 74; 74; 74]-0.237IM[74; 74; 74; 74]+0.199IM[69; 69; 69; 69; 69]...' numeric
@attribute '-0.219IM[67; 67; 66; 67]-0.219IR[4; 4; 4; 4; 8; 4]-0.189IR[4; 4; 4; 4; 8]+0.182TRANS[-2; 2; 1]+0.182INV[-2; -1; 1]...' numeric
@attribute '0.192TRANS[-2; -2; 2]+0.169INV[-2; -1; 0]+0.169IR[8; 2; 2; 4]-0.152IR[8; 8; 8; 6; 2]-0.152IR[8; 8; 8; 6]...' numeric
@attribute '-0.203IR[8; 8; 8; 6]-0.203IR[8; 8; 8; 6; 2]-0.2TRANS[0; 2; -2]-0.2IR[8; 8; 6; 2]+0.19 IM[67; 67; 66; 67]...' numeric
@attribute '0.264IR[8; 2; 2; 4]+0.264INV[-2; -1; 0]+0.183IM[79; 79; 77; 76]-0.174TRANS[-4; -1; -2]-0.174IM[74; 74; 74; 74; 74]...' numeric
@attribute '-0.321IM[72; 72; 72; 72; 72]-0.299IM[72; 72; 72; 72]-0.28IM[65; 65; 65; 65]-0.28IM[65; 65; 65; 65; 65]+0.26 INV[0; 0; 0; -2]...' numeric
@attribute '-0.279IM[60; 60; 60; 60; 60]-0.279IM[60; 60; 60; 60]-0.247IM[62; 62; 62; 62; 62]-0.198IR[2; 2; 2; 2; 4]-0.19INV[0; 0; 0; 2]...' numeric
@attribute '-0.231IR[2; 2; 2; 1; 1]-0.228IR[2; 2; 2; 1; 1; 2]-0.222IR[2; 4; 4; 8]-0.222IR[2; 2; 4; 4; 4]-0.204IR[2; 1; 1; 2]...' numeric
@attribute '0.262IM[62; 62; 62; 62; 62]+0.235TRANS[2; 1; -1]-0.231IM[60; 60; 60; 60; 60]-0.231IM[60; 60; 60; 60]-0.184IM[53; 53; 53; 53]...' numeric
@attribute '-0.242IM[60; 60; 60; 60; 60]-0.242IM[60; 60; 60; 60]-0.234TRANS[0; 0; -2; -2]-0.234IM[76; 76; 76; 74]+0.18 IM[62; 62; 62; 62; 62]...' numeric
@attribute '0.226IM[66; 67; 67; 66]+0.226TRANS[1; 0; -1]+0.22 IM[67; 66; 67; 67]+0.22 TRANS[-1; 1; 0]-0.194IR[2; 2; 2; 1; 1]...' numeric
@attribute '-0.284TRANS[0; 0; -2; -2]-0.284IM[76; 76; 76; 74]+0.264TRANS[1; 0; -1]+0.264IM[66; 67; 67; 66]+0.258IM[67; 66; 67; 67]...' numeric
@attribute '0.251IM[53; 53; 53; 53]+0.212IR[2; 2; 2; 1; 1]+0.209IR[2; 2; 2; 1; 1; 2]-0.203IR[4; 4; 4; 4; 4; 4; 4; 4]+0.202IM[58; 58; 58; 58]...' numeric
@attribute '0.31 IR[8; 8; 8; 16]+0.271TRANS[0; 1; 2]+0.199TRANS[2; 2; 1; 2]-0.18IR[4; 4; 4; 4; 4; 4; 4; 4]-0.177TRANS[0; 0; -2; -2]...' numeric
@attribute '0.271TRANS[1; 0; -1]+0.271IM[66; 67; 67; 66]+0.268IM[67; 66; 67; 67]+0.268TRANS[-1; 1; 0]+0.222IM[53; 53; 53; 53; 53]...' numeric
@attribute '0.459TRANS[-1; -2; 2]+0.459IB[67:4; 67:4; 67:4; 67:4]+0.311IM[67; 67; 67; 67]-0.182INV[-3; 1; 2]-0.182TRANS[2; 3; -1; -2]...' numeric
@attribute '-0.43INV[-3; 1; 2]-0.43TRANS[2; 3; -1; -2]-0.27IR[4; 4; 4; 4; 8]-0.229TRANS[-1; -2; 2]-0.229IB[67:4; 67:4; 67:4; 67:4]...' numeric
@attribute '-0.425TRANS[0; 0; 137; 5]+0.294IM[70; 70; 70; 70]+0.294IM[69; 67; 69; 70]-0.237TRANS[0; 0; 137]-0.237IM[-87; -87; -87; 50]...' numeric
@attribute '0.297INV[0; 0; 0; 2]+0.261TRANS[2; 2; 1; 2]-0.257IM[70; 70; 70; 70]-0.257IM[69; 67; 69; 70]+0.248IM[64; 64; 64; 64]...' numeric
@attribute '-0.414IM[70; 70; 70; 70]-0.414IM[69; 67; 69; 70]-0.243TRANS[0; 0; 137; 5]-0.195INV[0; 0; 0]-0.145IR[8; 8; 8; 16]...' numeric
@attribute '0.284IM[58; 58; 58; 58]+0.251INV[0; 0; 0; 0]+0.229TRANS[0; 1; 2]-0.2IM[53; 53; 53; 53; 53]-0.2IM[53; 53; 53; 53; 53; 53]...' numeric
@attribute '-0.456IR[4; 4; 4; 4; 4; 4; 4; 4; 4]-0.456IR[4; 4; 4; 4; 4; 4; 4; 4; 4; 4]-0.197TRANS[0; 1; 2]-0.17TRANS[2; 2; 0]+0.164TRANS[0; -2; -1]...' numeric
@attribute '-0.251INV[2; 2; 1]-0.215TRANS[2; 2; 0]+0.212IR[2; 4; 4; 8]+0.212IR[2; 2; 4; 4; 4]-0.211IR[2; 2; 3; 1]...' numeric
@attribute '0.628IM[74; 73; 74; 76]+0.628TRANS[-1; 1; 2]+0.149IR[4; 4; 4; 2]+0.109INV[-3; 1; 2]+0.109TRANS[2; 3; -1; -2]...' numeric
@attribute '0.3  INV[2; 2; 1]+0.261IM[58; 58; 58; 58]-0.251IM[53; 53; 53; 53; 53]-0.251IM[53; 53; 53; 53; 53; 53]+0.245IR[2; 2; 3; 1]...' numeric
@attribute '0.471IR[8; 8; 8; 8; 8; 8; 8]-0.287IM[69; 69; 69; 69; 69; 69]+0.217INV[0; 0; 0; 2]+0.176TRANS[0; 0; 137; 5]-0.168IM[65; 65; 65; 65; 65]...' numeric
@attribute '-0.317IM[60; 59; 57; 55]+0.27 INV[2; 2; 1]-0.213TRANS[2; 2; 0]+0.209IR[2; 2; 3; 1]-0.206TRANS[-2; 0; -1]...' numeric
@attribute '-0.334IR[2; 2; 2; 2; 1; 1]-0.308IM[78; 76; 74; 73]-0.237IR[2; 2; 2; 2; 2; 2]-0.217IR[2; 2; 2; 2; 2; 2; 2]-0.185IR[2; 2; 2; 2; 2]...' numeric
@attribute '0.425IM[69; 69; 69; 69; 69; 69]-0.337IM[60; 59; 57; 55]+0.291TRANS[2; 2; 0]-0.254TRANS[2; 3; -2]+0.199MIRR[0; 0; 0]...' numeric
@attribute '-0.336IM[69; 69; 69; 69; 69; 69]-0.288IR[2; 2; 2; 2; 1; 1]-0.28IR[8; 8; 8; 8; 8; 8; 8]-0.279IM[60; 59; 57; 55]+0.243TRANS[2; 2; 0]...' numeric
@attribute '-0.464MIRR[1; 0; -1]+0.356IR[2; 2; 2; 2; 1; 1]+0.201IR[2; 2; 2; 2; 1]-0.192TRANS[-2; 2; 0]-0.182TRANS[2; 3; -2]...' numeric
@attribute '0.463TRANS[2; 3; -2]+0.338IR[2; 2; 2; 2; 1; 1]+0.272TRANS[2; 2; 0]-0.253IM[60; 59; 57; 55]+0.193IR[2; 2; 2; 2; 1]...' numeric
@attribute '-0.336TRANS[2; 3; -2]-0.333IM[78; 76; 74; 73]+0.281MIRR[1; 0; -1]+0.266IR[2; 2; 2; 2; 1; 1]-0.206IM[72; 71; 69; 67]...' numeric
@attribute '-0.361INV[-2; -2; -1]+0.35 IR[1; 1; 2; 2]+0.308IM[57; 56; 54; 52]+0.248MIRR[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0]+0.248MIRR[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0]...' numeric
@attribute '-0.341IR[1; 1; 2; 2]-0.254TRANS[2; 3; -2]-0.253IM[57; 56; 54; 52]+0.238TRANS[-1; -2; -2]+0.226IM[72; 71; 69; 67]...' numeric
@attribute '0.414MIRR[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0]+0.414MIRR[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0]+0.356INV[-2; -2; -1]+0.209TRANS[0; -2; -2]-0.193IR[1; 1; 2; 2]...' numeric
@attribute '-0.717TRANS[-2; 2; 0]+0.292MIRR[1; 0; -1]+0.173TRANS[2; 2; -2]+0.16 TRANS[-1; -1; -1]-0.157IM[78; 76; 74; 73]...' numeric
@attribute '0.577IM[67; 65; 64; 62]+0.431TRANS[0; 0; 1]-0.272TRANS[-2; 2; 0]-0.189IR[1; 1; 2; 2]+0.183TRANS[-1; 1; 0]...' numeric
@attribute '-0.568TRANS[0; 0; 1]+0.432IM[67; 65; 64; 62]+0.29 INV[-2; -2; -1]-0.278TRANS[-1; -1; -1]-0.225TRANS[2; 2; -2]...' numeric
@attribute '0.485INV[-2; -2; -1]+0.362TRANS[-1; -1; -1]-0.313TRANS[2; 2; -2]-0.307IM[67; 65; 64; 62]-0.268IM[57; 56; 54; 52]...' numeric
@attribute ' AuthorID' {Bach,Monteverdi,Palestrina}

@data
-1.372185,1.663706,-1.311531,0.610751,-0.340035,-2.659077,-1.487271,0.235079,0.080834,0.256242,-0.639057,-0.682131,-2.119203,0.996799,-0.204278,1.341322,1.383064,-0.382736,0.716115,0.450388,0.989601,-1.338441,-1.390644,-0.491942,0.482901,-0.942142,0.990384,-1.004547,1.561834,-3.07526,0.630367,-3.212834,-3.058842,0.720606,-0.736493,-0.299037,0.561769,0.387319,-0.228723,-0.108346,-1.126205,-0.109381,-0.256206,-0.490449,-0.006316,-0.954682,-0.865179,-0.203567,0.994787,-6.133711,1.716432,4.592235,0.799934,2.280733,-1.236956,2.542171,-0.095602,1.605283,-0.592183,Bach
-1.095695,0.59283,0.455065,-0.477733,0.157314,0.350166,-0.331929,-0.56626,0.305071,0.830269,0.40814,-0.4233,-1.018601,0.055561,-0.104079,-0.1081,-0.025489,-0.069428,0.646309,-0.365536,-0.000518,-0.116935,0.49718,0.110174,0.097232,-0.6854,0.853244,-0.235351,0.367686,-0.179074,-0.308022,-0.448448,0.802644,0.222063,0.596859,0.190389,-0.063072,0.288782,0.134623,-0.074922,0.979609,0.29055,0.202066,0.692907,0.055169,-0.508881,0.545634,-0.314098,-0.436181,0.589467,-1.635447,0.725536,-4.823465,-2.846851,4.418191,1.624798,-0.245327,3.325349,5.525975,Bach
-1.126776,0.497962,1.104292,-1.102441,-0.080375,0.616911,-0.861783,-0.122505,0.515778,0.467995,0.324706,-0.197687,-0.659212,0.005923,-0.125048,0.090474,-0.139317,0.251103,0.185621,-0.379063,0.228382,-0.311223,0.386794,-0.605344,0.281525,0.390221,-0.088278,0.393513,-0.148767,-0.208224,0.071642,0.303236,-0.220055,-0.75755,0.195096,0.529789,-0.518263,-0.28871,0.609319,-0.277263,0.062097,0.186035,-0.460042,-0.001212,-0.189376,0.386663,0.654526,-0.112641,0.044528,0.217362,-0.16948,0.436161,0.599736,-0.498744,-0.156573,0.078124,-0.001596,0.061265,0.193,Bach
-1.125083,0.470548,1.096199,-1.039743,-0.139344,0.704417,-0.919666,-0.195729,0.612688,0.521169,0.309209,-0.196908,-0.671604,-0.066663,-0.149347,0.099539,-0.126328,0.265554,0.1981,-0.40518,0.257862,-0.34959,0.43048,-0.620611,0.317809,0.493229,-0.128269,0.43781,-0.113459,-0.161052,0.072072,0.313779,-0.223873,-0.79381,0.248631,0.525364,-0.582337,-0.204165,0.598506,-0.383781,0.013734,0.259321,-0.441932,0.055787,-0.166381,0.437224,0.79545,-0.1011,-0.042362,0.240967,-0.141597,0.542757,0.658576,-0.531951,-0.12942,0.069821,0.031159,0.034997,0.196803,Bach
-1.172396,1.165014,-0.479554,-0.069688,-0.133639,-1.186232,-1.005237,-0.206736,-0.137798,0.639956,0.361093,-0.383048,-1.374204,0.744241,-0.192163,0.459596,0.379037,0.020776,0.552363,-0.102822,-0.246198,-0.523261,0.234671,-0.554326,-0.001993,-0.064601,0.534729,0.004113,0.058336,-0.471969,0.009084,-0.348077,-0.455133,-1.039037,-0.466091,-0.577342,0.211061,0.246875,0.298284,-0.27073,-0.065066,0.812861,-0.57977,0.221867,-0.250234,-0.421878,0.407528,-0.623922,0.310358,-2.997257,1.870835,2.210592,-1.875531,2.528927,1.320445,-8.668281,-3.190225,-0.374121,1.235208,Bach
-0.665262,-0.509382,-0.332065,-1.251374,0.24741,0.097391,-0.456452,-0.446818,-0.188,0.80609,0.776204,-0.722772,-0.913908,0.47747,-0.318436,0.167554,-0.223945,-0.015178,0.208611,-0.102612,0.053984,-0.435602,0.496153,-0.149117,-0.438119,-0.05723,0.547164,0.048933,-0.410331,0.032896,-0.266571,-0.262252,0.530789,-0.613068,-0.180597,0.239594,0.388191,0.412387,0.412919,0.054515,0.340418,0.338045,-0.531422,0.381148,-0.097784,-0.216899,0.169096,-0.268326,0.1003,0.288626,0.095059,-0.109165,0.217397,0.545941,-0.00536,0.237445,0.373522,-0.442572,0.121895,Bach
-1.151625,0.844214,0.625885,-1.150307,0.345479,0.071622,-0.684169,-0.661277,-0.200869,1.411046,1.426343,-0.768677,-2.012736,0.929194,-0.106521,0.033875,-0.472529,-0.090565,1.434126,-0.311003,-0.317596,-0.482638,1.303381,-1.638585,-0.011017,0.503112,2.028176,1.014295,-5.771509,7.336841,8.532419,-0.398249,-1.842096,8.23821,0.392939,-1.947427,0.092396,0.281202,-1.993147,-0.759792,-0.423779,-0.298269,0.063359,-0.149635,-0.057248,-0.203355,-1.14538,0.282004,-0.148143,-0.331639,0.548,-0.243713,2.300317,0.176216,-1.193963,-1.249249,2.145011,0.608001,2.723399,Bach
-1.053618,0.865878,-0.000185,-0.436927,0.02796,-0.489231,-0.656454,-0.349087,-0.198225,0.739435,0.671745,-0.293354,-1.021861,0.582616,-0.142675,0.16702,0.134927,0.036438,0.483228,-0.10793,-0.248547,-0.277657,0.362459,-0.438313,-0.048292,0.061201,0.264579,0.08011,-0.109863,-0.088076,-0.025174,-0.015301,-0.120279,-0.724386,-0.202945,-0.114245,0.07917,0.000855,0.31796,-0.015849,0.054821,0.306403,-0.271611,0.086749,-0.111141,-0.092107,0.340003,-0.198524,0.059107,-0.296284,0.253097,0.134899,-0.328012,0.231096,0.114537,-0.27583,0.082774,-0.083337,0.038387,Bach
-1.11167,0.725428,0.475259,-0.647058,0.275761,0.218514,-0.322004,-0.458469,0.013598,0.91351,0.866326,-0.675289,-1.494205,0.413418,-0.11303,-0.105987,-0.34165,0.157204,0.963966,-0.372583,-0.122883,-0.257912,0.7794,-1.170806,0.163946,-0.014379,1.03473,0.302409,-2.467907,3.080182,3.53826,-0.200416,-0.565168,3.348444,0.061067,-0.354244,-0.105469,-0.007527,-0.459922,0.110895,-0.016255,-0.337317,0.42081,0.060003,0.231749,0.083626,0.164512,-0.040232,-0.032563,0.203347,-0.442726,0.209043,-2.199834,-0.393504,1.309818,1.343563,-2.547781,-0.679301,-3.235856,Bach
-1.06422,0.827101,0.039649,-0.40953,0.03733,-0.5137,-0.622875,-0.346961,-0.171438,0.71538,0.633946,-0.279388,-0.996105,0.549254,-0.156185,0.176743,0.159883,0.044877,0.479628,-0.11638,-0.238838,-0.264099,0.36101,-0.43272,-0.003233,0.038143,0.209441,0.03541,-0.077883,-0.093852,-0.02849,-0.02076,-0.124762,-0.687102,-0.214249,-0.113916,0.05126,-0.038972,0.30184,-0.025551,0.07967,0.271099,-0.27332,0.102507,-0.095085,-0.067854,0.291475,-0.2036,0.054835,-0.329511,0.24502,0.113484,-0.348495,0.240395,0.110774,-0.286187,0.059683,-0.068484,0.029071,Bach
-1.111646,0.59857,0.955709,-1.058752,-0.080416,0.478058,-0.81605,-0.311117,0.275752,0.653275,0.766732,-0.326948,-1.115318,0.312253,-0.023537,0.076385,-0.274896,0.280435,0.14207,-0.214628,0.11925,-0.294402,0.475648,-0.640638,0.381495,0.883562,-0.030187,0.483889,-0.165792,-0.147155,0.007596,0.307353,-0.06258,-1.035093,0.146621,0.506387,0.118293,-0.217876,0.994731,-0.062043,0.097656,0.449251,-0.779237,0.444577,-0.648275,0.703988,1.718773,-0.417919,0.32206,0.886479,-0.446886,1.930187,3.12054,-2.962206,-1.536988,0.348981,-1.414453,0.491871,0.823146,Bach
-1.117668,-0.689027,1.792713,-0.562125,0.846526,-0.188338,-0.320165,-0.198201,-0.074485,1.246587,0.842884,-0.819578,-1.357359,1.197153,-0.052934,0.223827,-1.715583,2.547785,-4.442652,0.531416,2.112552,-2.665076,2.206029,1.070394,1.821098,3.147268,-5.156951,-0.28363,1.26165,-3.568045,1.394048,3.987372,0.643045,2.374555,1.031457,-0.897528,0.72907,1.232848,-1.612823,-0.159168,-0.533546,0.156156,0.777961,-0.040301,0.444038,-0.558782,0.721774,0.094298,0.489261,-1.232011,-0.9269,-1.074645,-0.195841,0.164057,0.041441,-0.001207,0.096806,-0.033824,-0.001669,Bach
-1.069522,0.465629,0.957309,-0.94559,0.124531,0.165125,-0.37133,-0.367084,0.312609,0.52535,0.636198,-0.277703,-0.924918,0.290032,-0.028706,0.059852,-0.209453,0.206761,0.114546,-0.168648,0.12406,-0.20405,0.361931,-0.447381,0.391971,0.522619,-0.238338,0.148222,-0.077309,-0.181741,0.019327,0.102596,0.036377,-0.484485,0.020899,0.35448,0.030001,-0.218946,0.560572,-0.089989,0.222179,0.062978,-0.393754,0.088463,-0.25449,0.409656,0.37034,-0.152319,0.030945,0.181604,-0.170405,0.336109,0.495765,-0.375498,-0.160414,-0.007893,-0.064836,0.022882,-0.049531,Bach
-1.241729,0.155254,2.02279,-1.459882,0.382824,-0.886233,0.955855,-0.480884,1.203037,-0.685513,0.929417,-0.189096,-0.752271,1.592997,0.092152,0.078682,-0.564259,0.584003,-0.682002,-0.436281,0.95881,-1.225004,1.239889,-0.228471,1.416979,2.258069,-2.455171,-0.054817,0.575451,-2.868844,0.84741,1.979417,0.362048,1.008835,0.090386,1.04058,0.300577,-0.428673,0.493694,-0.61778,1.817781,-1.56162,-1.141031,-2.640684,-2.265842,1.729505,-6.293572,1.944231,-4.781764,5.5751,5.123703,3.930683,-0.80537,0.719993,0.152043,0.108039,-0.122541,0.197192,0.007941,Bach
-1.096518,-0.969689,1.835599,-0.252304,0.732277,0.098121,-0.765836,-0.28255,-0.175492,1.698343,1.061165,-1.032376,-1.707262,1.40831,-0.06412,0.291713,-2.225625,3.347988,-5.911069,0.759671,2.762091,-3.589514,2.946265,1.529718,2.292864,4.619538,-6.678135,-0.071173,1.854875,-4.532947,1.845754,5.474983,0.828346,3.15125,1.576091,-1.485752,1.127118,2.159342,-2.47158,-0.321281,-1.08831,0.532721,1.286504,0.197196,0.562409,-0.865634,1.525467,0.28978,0.403404,-1.527976,-1.004089,-1.053461,-0.201098,0.141217,0.178464,-0.027689,0.208706,-0.159961,-0.009745,Bach
-2.065856,1.072908,6.405665,-8.935269,11.830541,-10.588106,9.12433,6.563187,-1.616408,-3.714237,-4.76097,2.598533,6.181045,-3.002233,0.263486,-0.098821,0.485961,-0.153464,-0.476826,0.24443,-0.324409,0.139914,-0.351468,0.642717,-1.002089,0.192038,0.452073,0.450127,-0.072138,0.925422,-0.08492,0.340814,0.109056,-0.103107,0.300934,-0.701652,0.212614,0.791391,-0.634525,-0.207682,-0.799174,0.680895,0.451467,0.637461,0.095959,-0.179298,0.845067,0.088915,-0.115154,0.047409,0.024929,-0.049608,0.035598,-0.100453,-0.257834,0.265336,-0.161191,0.355085,0.403274,Bach
-1.123204,0.438565,1.224009,-1.333985,0.929819,-0.654185,0.418359,-0.032625,-0.010162,0.353536,0.411788,-0.239652,-0.643259,0.37031,-0.036469,0.035841,-0.176366,0.0313,0.250839,-0.087815,0.050571,-0.047481,0.231139,-0.326984,0.4384,-0.088336,-0.257923,-0.234367,-0.053869,-0.493302,0.028903,-0.152231,0.008336,-0.105877,-0.246472,0.632753,-0.211686,-0.766768,0.697231,0.213839,0.767634,-0.609853,-0.560912,-0.629719,-0.094309,0.303097,-1.096458,-0.242126,0.386254,-0.276579,-0.454553,-0.655333,-0.154433,0.100968,-0.169796,0.102463,-0.062346,0.09595,0.037565,Bach
-1.369109,0.583229,2.394395,-2.971411,3.179948,-2.7132,2.214999,1.287791,-0.308706,-0.45298,-0.581442,0.285483,0.609114,-0.209582,0.006985,0.003977,-0.067059,0.008494,0.121266,-0.041574,0.057162,-0.049258,0.125022,-0.232671,0.391641,-0.095519,-0.259575,-0.276879,0.044925,-0.730093,0.067621,-0.289695,-0.101797,0.078475,-0.316886,0.854269,-0.24843,-1.109945,0.899219,0.311598,1.322159,-1.195861,-0.853188,-1.347392,-0.223021,0.460293,-2.666878,-0.332158,0.744423,-0.927943,-0.939403,-1.498927,0.010075,-0.127229,-0.436945,0.356439,-0.162214,0.284625,0.253337,Bach
-1.298003,0.543803,2.09002,-2.560399,2.645136,-2.220981,1.787756,0.981203,-0.240887,-0.270345,-0.36575,0.176103,0.348165,-0.100536,-0.002457,0.010503,-0.082113,0.006443,0.150227,-0.050213,0.043285,-0.044422,0.148597,-0.229006,0.342001,-0.080303,-0.237707,-0.232936,0.009807,-0.568566,0.047549,-0.205941,-0.060444,0.011455,-0.251932,0.694269,-0.21093,-0.883434,0.740937,0.241495,1.028367,-0.891528,-0.670698,-0.987907,-0.167613,0.367462,-1.922779,-0.259505,0.540681,-0.54454,-0.733359,-1.201269,-0.041399,-0.134585,-0.29047,0.17796,-0.129177,0.168019,0.236129,Bach
-1.844868,0.94723,5.257725,-7.313602,9.565889,-8.520941,7.305862,5.194513,-1.295755,-2.861681,-3.714299,2.032456,4.816441,-2.355208,0.205598,-0.071009,0.368428,-0.132277,-0.322687,0.187485,-0.279206,0.104363,-0.236955,0.492245,-0.84509,0.177286,0.392932,0.408373,-0.091853,0.886396,-0.087143,0.339358,0.115188,-0.173185,0.310838,-0.749661,0.208038,0.957613,-0.688925,-0.268568,-1.067578,0.986819,0.640822,1.057357,0.160336,-0.346504,2.09516,0.243312,-0.601345,0.782377,0.812279,1.371107,-0.044387,0.224074,0.608398,-0.541057,0.299448,-0.59437,-0.633285,Bach
-1.013725,0.836502,0.111205,-0.486002,0.184117,0.087868,-0.288714,-0.28025,-0.079732,0.633135,0.622682,-0.510838,-1.044827,0.366663,-0.066276,-0.110338,-0.215145,0.15825,0.501464,-0.245233,-0.119031,-0.241738,0.353459,-0.565488,-0.044122,-0.019341,0.384819,0.14518,-0.236807,-0.029258,0.073317,0.046898,0.170863,-0.400099,-0.129509,0.327929,0.006325,0.007894,0.417163,0.316413,0.021393,0.091003,0.1102,-0.030533,0.016573,-0.035125,0.434564,-0.084958,0.070051,0.068873,-0.169406,0.193109,-0.697008,-0.091631,0.303099,0.213711,-0.138931,-0.140978,-0.181337,Bach
